route_id,route_name,internal_route_cd,start_stop_name,end_stop_name,direction,departure_time,arrival_time
1,1,"prv33","Panaji KTC Bus Stand","Satre",return,07:00:00,09:22:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,08:35:00,09:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,08:40:00,09:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,08:50:00,09:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,08:55:00,09:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:00:00,10:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:10:00,10:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:15:00,10:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:15:00,10:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:15:00,10:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:20:00,10:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:25:00,10:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:25:00,10:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:30:00,10:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:35:00,10:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:35:00,10:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:40:00,10:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:40:00,10:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:45:00,10:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:50:00,10:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,09:55:00,10:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:00:00,11:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:05:00,11:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:05:00,11:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:10:00,11:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:15:00,11:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:15:00,11:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:20:00,11:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:25:00,11:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:30:00,11:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:30:00,11:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:40:00,11:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:45:00,11:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:50:00,11:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,10:55:00,11:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:00:00,12:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:10:00,12:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:20:00,12:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:25:00,12:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:25:00,12:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:30:00,12:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:40:00,12:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:45:00,12:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,11:50:00,12:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:00:00,13:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:10:00,13:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:20:00,13:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:25:00,13:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:30:00,13:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:35:00,13:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:40:00,13:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:50:00,13:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:00:00,14:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:05:00,14:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:10:00,14:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:15:00,14:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:20:00,14:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:25:00,14:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:25:00,14:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:35:00,14:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:40:00,14:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:45:00,14:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:50:00,14:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:55:00,14:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:00:00,15:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:10:00,15:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:15:00,15:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:15:00,15:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:20:00,15:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:20:00,15:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:30:00,15:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:40:00,15:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:45:00,15:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:50:00,15:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:55:00,15:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:00:00,16:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:05:00,16:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:05:00,16:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:10:00,16:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:15:00,16:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:20:00,16:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:25:00,16:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:30:00,16:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:35:00,16:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:40:00,16:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:50:00,16:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:55:00,16:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:00:00,17:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:05:00,17:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:10:00,17:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:15:00,17:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:20:00,17:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:25:00,17:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:30:00,17:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:40:00,17:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,16:50:00,17:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,17:00:00,18:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,17:10:00,18:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,17:20:00,18:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,17:40:00,18:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,17:55:00,18:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,05:40:00,06:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,06:00:00,07:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,06:20:00,07:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,06:30:00,07:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,06:40:00,07:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,06:50:00,07:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,07:00:00,08:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,07:10:00,08:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,07:20:00,08:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,07:30:00,08:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,07:40:00,08:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,08:00:00,09:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,08:20:00,09:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,08:30:00,09:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,08:40:00,09:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,08:50:00,09:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,08:55:00,09:55:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:00:00,10:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:05:00,10:05:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:10:00,10:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:15:00,10:15:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:20:00,10:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:20:00,10:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:25:00,10:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:30:00,10:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:35:00,10:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:40:00,10:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:45:00,10:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,09:50:00,10:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:00:00,11:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:05:00,11:05:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:10:00,11:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:10:00,11:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:20:00,11:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:30:00,11:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:35:00,11:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:35:00,11:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:40:00,11:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:45:00,11:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:45:00,11:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,10:50:00,11:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:00:00,12:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:10:00,12:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:10:00,12:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:20:00,12:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:30:00,12:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:40:00,12:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,11:50:00,12:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:00:00,13:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:10:00,13:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:15:00,13:15:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:20:00,13:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:25:00,13:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:25:00,13:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:30:00,13:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:40:00,13:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:45:00,13:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,12:50:00,13:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:00:00,14:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:10:00,14:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:20:00,14:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:25:00,14:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:25:00,14:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:30:00,14:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:40:00,14:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,13:50:00,14:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:00:00,15:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:05:00,15:05:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:10:00,15:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:20:00,15:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:25:00,15:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:30:00,15:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:35:00,15:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:40:00,15:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:40:00,15:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:45:00,15:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:50:00,15:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,14:55:00,15:55:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:00:00,16:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:05:00,16:05:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:10:00,16:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:15:00,16:15:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:20:00,16:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:25:00,16:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:30:00,16:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:35:00,16:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:40:00,16:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:45:00,16:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:45:00,16:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:50:00,16:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,15:55:00,16:55:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:00:00,17:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:05:00,17:05:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:10:00,17:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:15:00,17:15:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:20:00,17:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:25:00,17:25:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:30:00,17:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:35:00,17:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:40:00,17:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:50:00,17:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,16:55:00,17:55:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:00:00,18:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:05:00,18:05:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:10:00,18:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:20:00,18:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:30:00,18:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:40:00,18:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:45:00,18:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,17:50:00,18:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:00:00,19:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:10:00,19:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:20:00,19:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:30:00,19:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:40:00,19:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:45:00,19:45:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,18:50:00,19:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:00:00,20:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:10:00,20:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:15:00,20:15:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:20:00,20:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:30:00,20:30:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:35:00,20:35:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:40:00,20:40:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:50:00,20:50:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,19:55:00,20:55:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,20:00:00,21:00:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,20:10:00,21:10:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,20:20:00,21:20:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",return,20:30:00,21:30:00
